Date,t,t_square,dia,April,May,June,July,August,September,October,November,December,January,February,March
01-04-23,73,5329,12MM,1,0,0,0,0,0,0,0,0,0,0,0
01-05-23,74,5476,12MM,0,1,0,0,0,0,0,0,0,0,0,0
31-05-23,75,5625,12MM,0,1,0,0,0,0,0,0,0,0,0,0
30-06-23,76,5776,12MM,0,0,1,0,0,0,0,0,0,0,0,0
30-07-23,77,5929,12MM,0,0,0,1,0,0,0,0,0,0,0,0
29-08-23,78,6084,12MM,0,0,0,0,1,0,0,0,0,0,0,0
28-09-23,79,6241,12MM,0,0,0,0,0,1,0,0,0,0,0,0
28-10-23,80,6400,12MM,0,0,0,0,0,0,1,0,0,0,0,0
27-11-23,81,6561,12MM,0,0,0,0,0,0,0,1,0,0,0,0
27-12-23,82,6724,12MM,0,0,0,0,0,0,0,0,1,0,0,0
26-01-24,83,6889,12MM,0,0,0,0,0,0,0,0,0,1,0,0
25-02-24,84,7056,12MM,0,0,0,0,0,0,0,0,0,0,1,0
26-03-24,85,7225,12MM,0,0,0,0,0,0,0,0,0,0,0,1
